actual,pred,abs_error,is_threshold_miss,near_threshold_miss,large_margin_error
1.98,2.1392861954650275,0.15928619546502754,False,False,False
1.98,2.1392861954650275,0.15928619546502754,False,False,False
1.98,2.1392861954650275,0.15928619546502754,False,False,False
1.98,2.1392861954650275,0.15928619546502754,False,False,False
1.98,2.1392861954650275,0.15928619546502754,False,False,False
1.98,2.1392861954650275,0.15928619546502754,False,False,False
1.98,2.1392861954650275,0.15928619546502754,False,False,False
1.98,2.1392861954650275,0.15928619546502754,False,False,False
1.98,2.120009424344737,0.14000942434473718,False,False,False
1.98,2.099489859680672,0.11948985968067216,False,False,False
1.98,2.258759067416548,0.2787590674165479,False,False,False
1.98,2.4292966496040327,0.4492966496040327,False,False,False
1.98,2.4292966496040327,0.4492966496040327,False,False,False
1.98,2.422900755220002,0.44290075522000194,False,False,False
1.98,2.422900755220002,0.44290075522000194,False,False,False
1.98,2.0935091528424303,0.11350915284243035,False,False,False
1.98,2.102546313929888,0.12254631392988813,False,False,False
1.98,2.0819806623796215,0.10198066237962156,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.25370748649762,0.2737074864976199,False,False,False
1.98,2.093212416773104,0.1132124167731039,False,False,False
1.98,2.241517394728891,0.2615173947288909,False,False,False
1.98,2.2798315522729564,0.29983155227295644,False,False,False
1.98,2.4117204182685033,0.43172041826850327,False,False,False
1.98,2.429224203823913,0.4492242038239129,False,False,False
1.98,2.3043301507765004,0.3243301507765004,False,False,False
1.98,2.410079912909488,0.4300799129094881,False,False,False
1.98,2.4037198591746813,0.42371985917468136,False,False,False
1.98,2.410079912909488,0.4300799129094881,False,False,False
1.98,2.410079912909488,0.4300799129094881,False,False,False
1.98,2.410079912909488,0.4300799129094881,False,False,False
1.98,2.410079912909488,0.4300799129094881,False,False,False
1.98,2.410079912909488,0.4300799129094881,False,False,False
1.98,2.410079912909488,0.4300799129094881,False,False,False
1.98,2.410079912909488,0.4300799129094881,False,False,False
1.98,2.410079912909488,0.4300799129094881,False,False,False
1.98,2.410079912909488,0.4300799129094881,False,False,False
1.98,2.410079912909488,0.4300799129094881,False,False,False
1.98,2.419674782815248,0.43967478281524786,False,False,False
1.98,2.4244823368567303,0.44448233685673033,False,False,False
1.98,2.4244823368567303,0.44448233685673033,False,False,False
1.98,2.4244823368567303,0.44448233685673033,False,False,False
1.98,2.4244823368567303,0.44448233685673033,False,False,False
1.98,2.0998322321361913,0.11983223213619132,False,False,False
1.98,2.161009147186973,0.1810091471869728,False,False,False
1.98,2.0935091528424303,0.11350915284243035,False,False,False
1.98,2.0749818707168197,0.09498187071681974,False,False,False
1.98,2.0730161303971357,0.09301613039713574,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.078798932881178,0.09879893288117803,False,False,False
1.98,2.0807871703232035,0.1007871703232035,False,False,False
1.98,2.078798932881178,0.09879893288117803,False,False,False
1.98,2.078798932881178,0.09879893288117803,False,False,False
1.98,2.0856277836247603,0.10562778362476033,False,False,False
1.98,2.0749818707168197,0.09498187071681974,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.0615640106842235,0.08156401068422348,False,False,False
1.98,2.073176029727625,0.09317602972762495,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
1.98,2.0866447815415707,0.10664478154157075,False,False,False
